2024-07-04T09:01:22.998Z - Request to http://localhost:3001/rest took 582ms: , Average time: 582 ms, request counts are: 1, strategy: FIFO
2024-07-04T09:01:45.834Z - Request to http://localhost:3001/rest took 289ms: , Average time: 435.5 ms, request counts are: 2, strategy: RoundRobin
2024-07-04T09:03:17.331Z - Request to http://localhost:3001/rest took 638ms: , Average time: 638 ms, request counts are: 1, strategy: RoundRobin
2024-07-04T09:03:19.375Z - Request to http://localhost:3001/rest took 520ms: , Average time: 579 ms, request counts are: 2, strategy: RoundRobin
2024-07-04T09:04:25.679Z - Request to http://localhost:3001/rest took 498ms: , Average time: 498 ms, request counts are: 1, strategy: FIFO
2024-07-04T09:04:27.912Z - Request to http://localhost:3002/rest took 845ms: , Average time: 845 ms, request counts are: 1, strategy: FIFO
2024-07-04T09:04:29.751Z - Request to http://localhost:3003/rest took 482ms: , Average time: 482 ms, request counts are: 1, strategy: FIFO
2024-07-04T09:04:32.292Z - Request to http://localhost:3003/rest took 931ms: , Average time: 706.5 ms, request counts are: 2, strategy: FIFO
2024-07-04T09:04:33.574Z - Request to http://localhost:3003/rest took 133ms: , Average time: 515.3333333333334 ms, request counts are: 3, strategy: FIFO
2024-07-04T11:10:32.396Z - Request to http://localhost:3001/rest took 347ms: , Average time: 347 ms, request counts are: 1, strategy: Priority
2024-07-04T11:10:35.084Z - Request to http://localhost:3002/rest took 662ms: , Average time: 662 ms, request counts are: 1, strategy: Priority
